Target Name	Year	Phase1	Phase2	Num	Label	First Approval Drug	Drug Type
Growth hormone receptor	1998	1	1	1	Human/Protein	Pegvisomant	Protein drug
Growth hormone receptor	1999	1	1	?	Human/Protein	Pegvisomant	Protein drug
Growth hormone receptor	2000	1	1	?	Human/Protein	Pegvisomant	Protein drug
Growth hormone receptor	2001	3	3	1	Human/Protein	Pegvisomant	Protein drug
Growth hormone receptor	2002	3	3	1	Human/Protein	Pegvisomant	Protein drug
Growth hormone receptor	2003	4	4	1	Human/Protein	Pegvisomant	Protein drug
Bacterial penicillin-binding proteins	1930	1	1	1	Non-Human/Protein	Penicillin	Small molecule
Bacterial penicillin-binding proteins	1931	1	1	?	Non-Human/Protein	Penicillin	Small molecule
Bacterial penicillin-binding proteins	1947	4	4	1	Non-Human/Protein	Penicillin	Small molecule
Alpha-1A adrenergic receptor	1974	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule
Alpha-1A adrenergic receptor	1975	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule
Alpha-1A adrenergic receptor	1976	4	4	1	Human/Protein	Prazosin hydrochloride	Small molecule
Alpha-1B adrenergic receptor	1974	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule
Alpha-1B adrenergic receptor	1975	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule
Alpha-1B adrenergic receptor	1976	4	4	1	Human/Protein	Prazosin hydrochloride	Small molecule
Alpha-1D adrenergic receptor	1974	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule
Alpha-1D adrenergic receptor	1975	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule
Alpha-1D adrenergic receptor	1976	4	4	1	Human/Protein	Prazosin hydrochloride	Small molecule
Beta-2 adrenergic receptor	1962	1	1	1	Human/Protein	Propranolol hydrochloride	Small molecule
Beta-2 adrenergic receptor	1963	1	1	?	Human/Protein	Propranolol hydrochloride	Small molecule
Beta-2 adrenergic receptor	1967	4	4	1	Human/Protein	Propranolol hydrochloride	Small molecule
Beta-1 adrenergic receptor	1962	1	1	1	Human/Protein	Propranolol hydrochloride	Small molecule
Beta-1 adrenergic receptor	1963	1	1	?	Human/Protein	Propranolol hydrochloride	Small molecule
Beta-1 adrenergic receptor	1967	4	4	1	Human/Protein	Propranolol hydrochloride	Small molecule
Uric acid	1996	2	2	1	Human/Non-Protein	Rasburicase	Protein drug
Uric acid	2002	4	4	1	Human/Non-Protein	Rasburicase	Protein drug
DNA-dependent RNA polymerase	1966	1	1	1	Non-Human/Protein	Rifampin	Small molecule
DNA-dependent RNA polymerase	1967	1	1	?	Non-Human/Protein	Rifampin	Small molecule
DNA-dependent RNA polymerase	1971	4	4	1	Non-Human/Protein	Rifampin	Small molecule
Protease	1992	1	1	1	Non-Human/Protein	Saquinavir mesylate	Small molecule
Protease	1993	1	1	?	Non-Human/Protein	Saquinavir mesylate	Small molecule
Protease	1994	2	2	1	Non-Human/Protein	Saquinavir mesylate	Small molecule
Protease	1995	4	4	3	Non-Human/Protein	Saquinavir mesylate	Small molecule
Amine oxidase [flavin-containing] B	1987	1	1	1	Human/Protein	Selegiline hydrochloride	Small molecule
Amine oxidase [flavin-containing] B	1988	1	1	?	Human/Protein	Selegiline hydrochloride	Small molecule
Amine oxidase [flavin-containing] B	1989	4	4	2	Human/Protein	Selegiline hydrochloride	Small molecule
cGMP-specific 3',5'-cyclic phosphodiesterase	1989	1	1	1	Human/Protein	Sildenafil	Small molecule
cGMP-specific 3',5'-cyclic phosphodiesterase	1990	1	1	?	Human/Protein	Sildenafil	Small molecule
cGMP-specific 3',5'-cyclic phosphodiesterase	1998	4	4	1	Human/Protein	Sildenafil	Small molecule
Serine/threonine-protein kinase mTOR	1994	1	1	1	Human/Protein	Sirolimus	Small molecule
Serine/threonine-protein kinase mTOR	1995	1	1	?	Human/Protein	Sirolimus	Small molecule
Serine/threonine-protein kinase mTOR	1996	2	3	2	Human/Protein	Sirolimus	Small molecule
Serine/threonine-protein kinase mTOR	1997	2	3	1	Human/Protein	Sirolimus	Small molecule
Serine/threonine-protein kinase mTOR	1998	2	3	1	Human/Protein	Sirolimus	Small molecule
Serine/threonine-protein kinase mTOR	1999	4	4	1	Human/Protein	Sirolimus	Small molecule
Somatotropin	1981	1	1	1	Human/Protein	Somatrem	Protein drug
Somatotropin	1982	2	3	1	Human/Protein	Somatrem	Protein drug
Somatotropin	1985	4	4	1	Human/Protein	Somatrem	Protein drug
Mineralocorticoid receptor	1957	1	1	1	Human/Protein	Spironolactone	Small molecule
Mineralocorticoid receptor	1958	1	1	?	Human/Protein	Spironolactone	Small molecule
Mineralocorticoid receptor	1960	4	4	1	Human/Protein	Spironolactone	Small molecule
5-HT 1B receptor	1989	3	3	1	Human/Protein	Sumatriptan succinate	Small molecule
5-HT 1B receptor	1991	2	2	1	Human/Protein	Sumatriptan succinate	Small molecule
5-HT 1B receptor	1992	4	4	1	Human/Protein	Sumatriptan succinate	Small molecule
5-HT 1D receptor	1989	3	3	1	Human/Protein	Sumatriptan succinate	Small molecule
5-HT 1D receptor	1991	2	2	1	Human/Protein	Sumatriptan succinate	Small molecule
5-HT 1D receptor	1992	4	4	1	Human/Protein	Sumatriptan succinate	Small molecule
Acetylcholinesterase	1981	1	1	1	Human/Protein	Tacrine hydrochloride	Small molecule
Acetylcholinesterase	1982	1	1	?	Human/Protein	Tacrine hydrochloride	Small molecule
Acetylcholinesterase	1991	2	2	1	Human/Protein	Tacrine hydrochloride	Small molecule
Acetylcholinesterase	1993	4	4	2	Human/Protein	Tacrine hydrochloride	Small molecule
Peptidyl-prolyl cis-trans isomerase FKBP1A	1989	1	1	1	Human/Protein	Tacrolimus	Small molecule
Peptidyl-prolyl cis-trans isomerase FKBP1A	1990	1	1	?	Human/Protein	Tacrolimus	Small molecule
Peptidyl-prolyl cis-trans isomerase FKBP1A	1994	4	4	1	Human/Protein	Tacrolimus	Small molecule
Estrogen receptor	1957	1	1	1	Human/Protein	Tamoxifen Citrate	Small molecule
Estrogen receptor	1958	1	1	?	Human/Protein	Tamoxifen Citrate	Small molecule
Estrogen receptor	1977	4	4	1	Human/Protein	Tamoxifen Citrate	Small molecule
Histamine H1 receptor	1942	1	1	1	Human/Protein	Terfenadine	Small molecule
Histamine H1 receptor	1943	1	1	?	Human/Protein	Terfenadine	Small molecule
Histamine H1 receptor	1985	4	4	1	Human/Protein	Terfenadine	Small molecule
Androgen receptor	1969	1	1	1	Human/Protein	Testosterone	Small molecule
Androgen receptor	1970	1	1	?	Human/Protein	Testosterone	Small molecule
Androgen receptor	1972	4	4	1	Human/Protein	Testosterone	Small molecule
Fungal fumarate reductase	1966	2	2	1	Non-Human/Protein	Thiabendazole	Small molecule
Fungal fumarate reductase	1967	4	4	1	Non-Human/Protein	Thiabendazole	Small molecule
P2Y purinoceptor 12	1975	1	1	1	Human/Protein	Ticlopidine hydrochloride	Small molecule
P2Y purinoceptor 12	1976	1	1	?	Human/Protein	Ticlopidine hydrochloride	Small molecule
P2Y purinoceptor 12	1991	4	4	1	Human/Protein	Ticlopidine hydrochloride	Small molecule
Catechol O-methyltransferase	1972	1	1	1	Human/Protein	Tolcapone	Small molecule
Catechol O-methyltransferase	1973	1	1	?	Human/Protein	Tolcapone	Small molecule
Catechol O-methyltransferase	1997	2	2	1	Human/Protein	Tolcapone	Small molecule
Catechol O-methyltransferase	1998	4	4	2	Human/Protein	Tolcapone	Small molecule
Muscarinic acetylcholine receptor M3	1995	1	1	1	Human/Protein	Tolterodine tartrate	Small molecule
Muscarinic acetylcholine receptor M3	1996	1	1	?	Human/Protein	Tolterodine tartrate	Small molecule
Muscarinic acetylcholine receptor M3	1998	4	4	1	Human/Protein	Tolterodine tartrate	Small molecule
Retinoic acid receptor gamma	1968	1	1	1	Human/Protein	Tretinoin	Small molecule
Retinoic acid receptor gamma	1969	1	1	?	Human/Protein	Tretinoin	Small molecule
Retinoic acid receptor gamma	1971	4	4	1	Human/Protein	Tretinoin	Small molecule
Peroxisome proliferator-activated receptor gamma	1990	2	2	1	Human/Protein	Troglitazone	Small molecule
Peroxisome proliferator-activated receptor gamma	1996	3	3	1	Human/Protein	Troglitazone	Small molecule
Peroxisome proliferator-activated receptor gamma	1997	4	4	1	Human/Protein	Troglitazone	Small molecule
L-type calcium channel	1968	1	1	1	Human/Protein	Verapamil hydrochloride	Small molecule
L-type calcium channel	1969	1	1	?	Human/Protein	Verapamil hydrochloride	Small molecule
L-type calcium channel	1981	4	4	1	Human/Protein	Verapamil hydrochloride	Small molecule
Cysteinyl leukotriene receptor 1	1988	2	2	1	Human/Protein	Zafirlukast	Small molecule
Cysteinyl leukotriene receptor 1	1991	1	1	1	Human/Protein	Zafirlukast	Small molecule
Cysteinyl leukotriene receptor 1	1994	2	2	1	Human/Protein	Zafirlukast	Small molecule
Cysteinyl leukotriene receptor 1	1996	4	4	1	Human/Protein	Zafirlukast	Small molecule
Neuraminidase	1994	1	1	1	Non-Human/Protein	Zanamivir	Small molecule
Neuraminidase	1995	1	1	?	Non-Human/Protein	Zanamivir	Small molecule
Neuraminidase	1996	2	2	1	Non-Human/Protein	Zanamivir	Small molecule
Neuraminidase	1998	3	3	1	Non-Human/Protein	Zanamivir	Small molecule
Neuraminidase	1999	4	4	1	Non-Human/Protein	Zanamivir	Small molecule
Reverse transcriptase/ribonuclease H 	1985	1	1	1	Non-Human/Protein	Zidovudine	Small molecule
Reverse transcriptase/ribonuclease H 	1986	1	1	?	Non-Human/Protein	Zidovudine	Small molecule
Reverse transcriptase/ribonuclease H 	1987	4	4	1	Non-Human/Protein	Zidovudine	Small molecule
T-type calcium channel	1980	1	1	1	Human/Protein	Zonisamide	Small molecule
T-type calcium channel	1981	1	1	?	Human/Protein	Zonisamide	Small molecule
T-type calcium channel	2000	4	4	1	Human/Protein	Zonisamide	Small molecule
