Target Name	Label	First Approval Drug	Drug Type	Disease	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003
Histamine H2 receptor	Human/Protein	Cimetidine	Small molecule	Digest	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Burimamide": "PMID: 78160||Burimamide, the first H2 antagonist to be used in man is effective intravenously but less so orally.; PMID: 4117206||Effects in man of histamine H2 -receptor blockade by burimamide.1972."}})	?P1	.	.	.	P4 (1||{"P4": {"Cimetidine": "NDA017920"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Serine/threonine-protein kinase mTOR	Human/Protein	Sirolimus	Small molecule	Immu	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Sirolimus": "PMID: 17275731; PMID: 8588237"}})	?P1	P2/P3 (2||{"P2/P3": {"Sirolimus": "NCT00328770"}, "P1": {"Temsirolimus": "NCT00002790"}})	P2/P3 (1||{"P2/P3": {"Sirolimus": "NCT00328770"}})	P2/P3 (1||{"P2/P3": {"Sirolimus": "NCT00328770"}})	P4 (1||{"P4": {"Sirolimus": "NDA021083"}})	.	.	.	.
Beta-2 adrenergic receptor	Human/Protein	Propranolol hydrochloride	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Dichloroisoprenaline": "PMID: 13948521||Effect of dichloroisoprenaline on the peripheral vascular responses to adrenaline in man.; https://en.wikipedia.org/wiki/Dichloroisoprenaline||Dichloroisoprenaline (DCI), also known as dichloroisoproterenol, was the first beta blocker ever to be developed. It is non-selective for the β1-adrenergic and β2-adrenergic receptors. DCI has low potency and acts as a partial agonist/antagonist at these receptors"}})	?P1	.	.	.	P4 (1||{"P4": {"Propranolol hydrochloride": "NDA016418"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Beta-1 adrenergic receptor	Human/Protein	Propranolol hydrochloride	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Dichloroisoprenaline": "PMID: 13948521||Effect of dichloroisoprenaline on the peripheral vascular responses to adrenaline in man.; https://en.wikipedia.org/wiki/Dichloroisoprenaline||Dichloroisoprenaline (DCI), also known as dichloroisoproterenol, was the first beta blocker ever to be developed. It is non-selective for the β1-adrenergic and β2-adrenergic receptors. DCI has low potency and acts as a partial agonist/antagonist at these receptors"}})	?P1	.	.	.	P4 (1||{"P4": {"Propranolol hydrochloride": "NDA016418"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Glucagon	Human/Protein	Glucagon hydrochloride	Protein drug	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Glucagon hydrochloride": "PMID: 13243215||Glucagon was administered to thirty-four children varying from 2 months to 13 years of age. It consistently produced a hyperglycemic effect in normal subjects."}})	?P1	.	.	.	P4 (1||{"P4": {"Glucagon hydrochloride": "NDA012122"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GABAA receptor (benzodiazepine binding-site)	Human/Protein	Diazepam	Small molecule	Mental	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Chlordiazepoxide": "PMID: 21315551||Before being tested in humans, chlordiazepoxide was assessed in a preclinical study in leopards, lions, panthers, tigers, and pumas at the San Diego and Boston zoos: the sedative effect was described as “taming” these wild animals. This was followed in early 1958 by the clinical phases of the study of Ro 5-0690, directed by Leonard R.Hines (the Biological Research director at Roche)."}})	?P1	.	.	.	P4 (1||{"P4": {"Diazepam": "NDA013263"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Synaptic vesicle glycoprotein 2A	Human/Protein	Levetiracetam	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Levetiracetam": "PMID: 8991791||Drugs in development include those at an advanced stage, such as topiramate and tiagabine, as well as those just entering clinical trials, such as remacemide and levetiracetam."}})	?P1	.	.	.	P4 (1||{"P4": {"Levetiracetam": "NDA021035"}})	.	.	.	.
T-cell surface antigen CD2	Human/Protein	Alefacept	Protein drug	Skin	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Siplizumab": "NCT00807794"}})	P1 (1||{"P1": {"Siplizumab": "NCT00807794"}})	P1 (1||{"P1": {"Siplizumab": "NCT00806208"}})	P1 (1||{"P1": {"Siplizumab": "NCT00806208"}})	P2 (1||{"P2": {"Siplizumab": "NCT00192452; NCT00540618"}})	P3 (2||{"P3": {"Alefacept": "PMID: 12451365||A randomized, double-blind, placebo-controlled phase III study evaluating efficacy and tolerability of 2 courses of alefacept in patients with chronic plaque psoriasis"}, "P2": {"Siplizumab": "NCT00540618"}})	P4 (2||{"P4": {"Alefacept": "BLA125036"}, "P2": {"Siplizumab": "NCT00540618"}})
Endothelin ET-B receptor	Human/Protein	Bosentan	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Bosentan": "NCT00001527; PMID: 8197152; PMID: 12070534; PMID: 8951932||Bosentan, a specific mixed antagonist of endothelin receptors with no vasoconstrictor activity, inhibits neurogenic plasma extravasation (NPE) within rat dura mater. This would predict efficacy in aborting migraine attacks, without causing cardiovascular side-effects. We investigated the efficacy of 250 mg i.v. bosentan in a randomized, double-blind, placebo-controlled, clinical trial."}})	P1 (1||{"P1": {"Bosentan": "NCT00001527"}})	P1 (1||{"P1": {"Bosentan": "NCT00001527"}})	P2 (2||{"P1": {"Bosentan": "NCT00001527"}, "P2": {"Tezosentan": "NCT02223494"}})	P2 (2||{"P1": {"Bosentan": "NCT00001527"}, "P2": {"Tezosentan": "NCT02223494"}})	P2 (2||{"P1": {"Bosentan": "NCT00001527"}, "P2": {"Tezosentan": "NCT02223494"}})	P4 (2||{"P4": {"Bosentan": "NDA021290"}, "P3": {"Tezosentan": "https://www.medscape.com/viewarticle/783919"}})	.	.
Alpha-L-iduronidase	Human/Protein	Laronidase	Protein drug	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1/P2 (1||{"P1/P2": {"Laronidase": "PMID: 15794739||This open-label safety and efficacy study (A phase I Clinical studies with laronidase) began in 1997 and was originally designed as a 26-week study, but was extended in steps to 3 years. In addition, safety and urinary GAG data were collected for up to 5 years of treatment. "}})	.	.	P3 (1||{"P3": {"Laronidase": "NCT00912925"}})	P3 (1||{"P3": {"Laronidase": "NCT00146770; NCT00912925"}})	P3 (1||{"P3": {"Laronidase": "NCT00146770"}})	P4 (1||{"P4": {"Laronidase": "BLA125058"}})
Myeloid cell surface antigen CD33	Human/Protein	Gemtuzumab ozogamicin	Antibody	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Lintuzumab": "PMID: 8142644||A phase 1B trial of humanized monoclonal antibody M195 (anti-CD33) in myeloid leukemia: specific targeting without immunogenicity."}})	P2 (1||{"P2": {"Lintuzumab": "NCT00002609"}})	P2 (1||{"P2": {"Lintuzumab": "NCT00002609"}})	P2 (1||{"P2": {"Lintuzumab": "NCT00002609"}})	P2 (2||{"P2": {"Gemtuzumab ozogamicin": "NCT00003131", "Lintuzumab": "NCT00002609"}})	P2 (2||{"P2": {"Gemtuzumab ozogamicin": "NCT00003131; NCT00003673", "Lintuzumab": "NCT00002609"}})	P2 (2||{"P2": {"Gemtuzumab ozogamicin": "NCT00003131; NCT00003673", "Lintuzumab": "NCT00002609; NCT00038051"}})	P4 (3||{"P4": {"Gemtuzumab ozogamicin": "NDA021174"}, "P1/P2": {"Lintuzumab-Bi-213": "NCT00014495"}, "P3": {"Lintuzumab": "NCT00006045"}})	.	.	.
Glycoprotein IIb/IIIa receptor	Human/Protein	Abciximab	Antibody	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	?P1	?P2	?P2	P3 (1||{"P3": {"Abciximab": "NCT00269893"}})	P3 (1||{"P3": {"Abciximab": "NCT00269893"}})	P3 (3||{"P3": {"Abciximab": "NCT00269906"}, "P1": {"MK 383": "PMID: 8403299||The activity and tolerability of MK-383 were evaluated in a two-part double-blind, placebo-controlled, dose-escalation study in healthy male subjects using 1- and 4-hour intravenous infusions.", "Tirofiban hydrochloride": "PMID: 8403299"}})	P4 (1||{"P4": {"Abciximab": "BLA103575"}})	.	.	.	.	.	.	.	.	.
5-HT 1B receptor	Human/Protein	Sumatriptan succinate	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	?P2	?P2	?P2	P3 (1||{"P3": {"Sumatriptan succinate": "PMID: 1653142||By the end of 1989, nearly 5000 patients had been treated with sumatriptan."}})	.	P2 (1||{"P2": {"Sumatriptan succinate": "PMID: 1653141||A Placebo-Controlled Study of Intranasal Sumatriptan for the Acute Treatment of Migraine. The Finnish Sumatriptan Group and the Cardiovascular Clinical Research Group"}})	P4 (1||{"P4": {"Sumatriptan succinate": "NDA020080"}})	.	.	.	.	.	.	.	.	.	.	.
5-HT 1D receptor	Human/Protein	Sumatriptan succinate	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	?P2	?P2	?P2	P3 (1||{"P3": {"Sumatriptan succinate": "PMID: 1653142||By the end of 1989, nearly 5000 patients had been treated with sumatriptan."}})	.	P2 (1||{"P2": {"Sumatriptan succinate": "PMID: 1653141||A Placebo-Controlled Study of Intranasal Sumatriptan for the Acute Treatment of Migraine. The Finnish Sumatriptan Group and the Cardiovascular Clinical Research Group"}})	P4 (1||{"P4": {"Sumatriptan succinate": "NDA020080"}})	.	.	.	.	.	.	.	.	.	.	.
Alpha-1-antitrypsin	Human/Protein	Alpha-1-proteinase inhibitor	Protein drug	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Alpha-1-proteinase inhibitor": "PMID: 9387938||The disability and early mortality that can result from this disorder (Alpha-1 antitrypsin deficiency) make it entirely logical to attempt replacement of the missing serum protein fraction and potentially suitable therapy has been available for some years.; PMID: 7028785||In the present study we assessed the feasibility of reversing this biochemical defect within the lung via parenteral replacement therapy with an alpha 1-antitrypsin concentrate of normal plasma. Received for publication 2 October 1980."}})	?P1	?P1	.	.	.	.	P4 (1||{"P4": {"Alpha-1-proteinase inhibitor": "FDA"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Somatostatin receptor type 2	Human/Protein	Octreotide acetate	Small molecule	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Octreotide acetate": "PMID: 19842996||Since the pharmacological properties of octreotide were first described in 1982 by Bauer et al.9, clinical evaluation has consistently demonstrated.; PMID:6128648||It is currentiy undergoing preiiminary ciinicaI trial.; PMID: 7324057||Five acromegalic patients were treated preoperatively over a period of 1-4 weeks with the somatostatin analogue SMS 201-995."}})	?P1	?P1	.	.	.	.	P4 (1||{"P4": {"Octreotide acetate": "NDA019667"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Somatostatin receptor type 5	Human/Protein	Octreotide acetate	Small molecule	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Octreotide acetate": "PMID: 19842996||Since the pharmacological properties of octreotide were first described in 1982 by Bauer et al.9, clinical evaluation has consistently demonstrated.; PMID:6128648||It is currentiy undergoing preiiminary ciinicaI trial.; PMID: 7324057||Five acromegalic patients were treated preoperatively over a period of 1-4 weeks with the somatostatin analogue SMS 201-995."}})	?P1	?P1	.	.	.	.	P4 (1||{"P4": {"Octreotide acetate": "NDA019667"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3-hydroxy-3-methylglutaryl-coenzyme A reductase	Human/Protein	Lovastatin	Small molecule	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Lovastatin": "https://books.google.com/books?id=Jh49Llr2x0AC&pg=PA74&lpg=PA74&dq=lovastatin+first+clinical&source=bl&ots=9szP_MBzge&sig=RqtXLrswo80EQZOxrqko811Ywps&hl=zh-CN&sa=X&ved=0ahUKEwiF88CQypbcAhUGxoMKHfUZCNQ4FBDoAQgmMAA#v=onepage&q=lovastatin&f=false||Foreign clinical trials with lovastatin began in April 1980 but were suspended just 5 months later."}})	?P1	.	.	.	.	.	P4 (2||{"P4": {"Lovastatin": "NDA019643"}, "P3": {"Pravastatin sodium": "PMID: 3113763||New Developments in Lipid-Lowering Therapy: The Role of Inhibitors of Hydroxymethylglutaryl-Coenzyme A Reductase"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Kit tyrosine kinase	Human/Protein	Imatinib mesylate	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Ancestim": "NCT00001398; PMID: 15526160"}})	P1 (1||{"P1": {"Ancestim": "NCT00001398"}})	P1 (1||{"P1": {"Ancestim": "NCT00001398"}})	P1 (1||{"P1": {"Ancestim": "NCT00001398; NCT00001526"}})	P1 (1||{"P1": {"Ancestim": "NCT00001398; NCT00001526"}})	P2 (2||{"P2": {"Ancestim": "NCT00001750"}, "P1": {"Imatinib mesylate": "https://www.pagepress.org/journals/index.php/hmr/article/viewFile/277/185||Imatinib, the first clinically viable Abl kinase inhibitor, is the result of a medicinal chemistry project initiated by Ciba Geigy (now Novartis) in the early 1990s, with protein kinase C as the initial target. Phase I studies started in June 1998 and established the efficacy of imatinib in patients with CML in all phases.; PMID: 11870247"}})	P2 (1||{"P2": {"Ancestim": "NCT00001750"}})	P3 (2||{"P2": {"Ancestim": "NCT00001750"}, "P3": {"Imatinib mesylate": "NCT00009906"}})	P4 (2||{"P2": {"Ancestim": "NCT00001750"}, "P4": {"Imatinib mesylate": "NDA021335"}})	.	.
NPC1-like intracellular cholesterol transporter 1	Human/Protein	Ezetimibe	Small molecule	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"SCH 48461": "PMID: 9336320||SCH58235(Ezetimibe) is now in development. Its predecessor, SCH48461, was shown to reduce LDL cholesterol in humans by 15% (Bergman et al., 1995).; PMID: 11245855||SCH48461 was the first of this class of cholesterol absorption inhibitors to enter human clinical trials (Bergman et al., 1995)."}})	?P1	.	.	.	.	P3 (1||{"P3": {"Ezetimibe": "NCT00092820"}})	P4 (1||{"P4": {"Ezetimibe": "NDA021445"}})	.
Endothelin ET-A receptor	Human/Protein	Bosentan	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"BQ 123": "PMID: 9241091||We were able to perform the ﬁrst human pharmacology studies with an inhibitor of endothelin generation, phosphoramidon, in 1992 and with an endothelin receptor antagonist, BQ-123,in 1993.; https://en.wikipedia.org/wiki/BQ-123||BQ-123 is a selective ETA endothelin receptor antagonist."}})	?P1	P1 (1||{"P1": {"Bosentan": "NCT00001527; PMID: 8197152; PMID: 12070534; PMID: 8951932||Bosentan, a specific mixed antagonist of endothelin receptors with no vasoconstrictor activity, inhibits neurogenic plasma extravasation (NPE) within rat dura mater. This would predict efficacy in aborting migraine attacks, without causing cardiovascular side-effects. We investigated the efficacy of 250 mg i.v. bosentan in a randomized, double-blind, placebo-controlled, clinical trial."}})	P1 (1||{"P1": {"Bosentan": "NCT00001527"}})	P1 (1||{"P1": {"Bosentan": "NCT00001527"}})	P2 (2||{"P1": {"Bosentan": "NCT00001527"}, "P2": {"Tezosentan": "NCT02223494"}})	P2 (3||{"P1": {"Bosentan": "NCT00001527"}, "P2": {"BQ 123": "NCT00759408", "Tezosentan": "NCT02223494"}})	P2 (3||{"P1": {"Bosentan": "NCT00001527"}, "P2": {"BQ 123": "NCT00759408", "Tezosentan": "NCT02223494"}})	P4 (4||{"P3": {"A 147627": "NCT00036543", "Tezosentan": "https://www.medscape.com/viewarticle/783919"}, "P4": {"Bosentan": "NDA021290"}, "P2": {"BQ 123": "NCT00759408"}})	.	.
Peroxisome proliferator-activated receptor gamma	Human/Protein	Troglitazone	Small molecule	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	?P1	P2 (1||{"P2": {"Pioglitazone": "PMID: 7935656||Improvement in Glucose Tolerance and Insulin Resistance in Obese Subjects Treated with Troglitazone. In 18 nondiabetic obese subjects, 9 of whom had impaired glucose tolerance."}})	.	.	.	.	.	P3 (1||{"P3": {"Troglitazone": "PMID: 16362281||August 1996 that troglitazone ‘offered very little significant therapeutic advantage’ over existing therapies for diabetes, and later expressed his concern over the high rates of liver injury and heart failure (16 vs 7% in controls for the latter complication) reported by two Phase III trials"}})	P4 (1||{"P4": {"Troglitazone": "NDA020720"}})	.	.	.	.	.	.
Interleukin-2 receptors	Human/Protein	Denileukin diftitox	Protein drug	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"DAB486IL-2": "PMID: 1674015||DAB486IL-2 is being evaluated in phase I clinical trials in patients with chemotherapy-resistant malignancies expressing IL-2-receptor (1990)."}})	?P1	.	.	.	P1/P2 (1||{"P1/P2": {"Daclizumab": "NCT00002681"}})	P1/P2 (1||{"P1/P2": {"Daclizumab": "NCT00002681"}})	P1/P2 (1||{"P1/P2": {"Daclizumab": "NCT00002681"}})	P1/P2 (2||{"P1/P2": {"Daclizumab": "NCT00002681"}, "P1": {"Denileukin diftitox": "PMID: 9427692"}})	P4 (2||{"P4": {"Daclizumab": "NCT00048165", "Denileukin diftitox": "BLA103767; NCT00050999; NCT00051012"}})	.	.	.	.
cGMP-specific 3',5'-cyclic phosphodiesterase	Human/Protein	Sildenafil	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Sildenafil": "PMID: 17303994; https://en.wikipedia.org/wiki/Discovery_and_development_of_phosphodiesterase_5_inhibitors#cite_note-Ravipati-22||Sildenafil was initially introduced for clinical trial in 1989."}})	?P1	.	.	.	.	.	.	.	P4 (1||{"P4": {"Sildenafil": "NDA020895"}})	.	.	.	.	.
Gastric H(+)/K(+) ATPase	Human/Protein	Omeprazole	Small molecule	Digest	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	?P1	P2/P3 (1||{"P2/P3": {"Omeprazole": "https://www.sciencedirect.com/topics/neuroscience/omeprazole||Phase II/III clinical trials began in 1981, but were halted for 2 years as a result of yet another toxicology scare carcinogenicity, which again proved to be a false alarm."}})	.	.	.	.	.	.	.	P4 (1||{"P4": {"Omeprazole": "NDA019810"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Cysteinyl leukotriene receptor 1	Human/Protein	Zafirlukast	Small molecule	Resp	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	?P1	P2 (1||{"P2": {"LY 171883": "PMID: 9895400||LY 171883, was the first leukotriene-receptor antagonist to undergo clinical trials for treatment of chronic stable asthma. Because it is no longer under development, it is not considered in this review.; PMID: 2837970||LY171883, is currently in phase 2 evaluation."}})	.	.	P1 (1||{"P1": {"Zafirlukast": "PMID: 1991926||The Effect of the Oral Leukotriene Antagonist, ICI 204,219, on Leukotriene D4 and Histamine-Induced Cutaneous Vascular Reactions in Man"}})	.	.	P2 (1||{"P2": {"Zafirlukast": "PMID: 8087328||Effects of 6 Weeks of Therapy With Oral Doses of ICI 204,219, a Leukotriene D4 Receptor Antagonist, in Subjects With Bronchial Asthma. ACCOLATE Asthma Trialists Group"}})	.	P4 (1||{"P4": {"Zafirlukast": "NDA020547"}})	.	.	.	.	.	.	.
Cannabinoid receptor 1	Human/Protein	Dronabinol	Small molecule	Others	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Delta-9-tetrahydrocannabinol": "PMID: 1099449||Oral delta-9-tetrahydrocannabinol was compared with placebo in a controlled, randomized, \"double-blind\" experiment. All patients were receiving chemotherapeutic drugs known to cause nausea and vomiting of central origin.; PMID: 4380598"}})	?P1	.	.	.	.	.	.	P2 (1||{"P2": {"Levonantradol": "PMID: 6309451||Levonantradol: A Synthetic Cannabinoid in the Treatment of Severe Chemotherapy-Induced Nausea and Vomiting Resistant to Conventional Anti-Emetic Therapy"}})	.	P4 (1||{"P4": {"Dronabinol": "NDA018651"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Cannabinoid receptor 2	Human/Protein	Dronabinol	Small molecule	Others	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Delta-9-tetrahydrocannabinol": "PMID: 1099449||Oral delta-9-tetrahydrocannabinol was compared with placebo in a controlled, randomized, \"double-blind\" experiment. All patients were receiving chemotherapeutic drugs known to cause nausea and vomiting of central origin.; PMID: 4380598"}})	?P1	.	.	.	.	.	.	P2 (1||{"P2": {"Levonantradol": "PMID: 6309451||Levonantradol: A Synthetic Cannabinoid in the Treatment of Severe Chemotherapy-Induced Nausea and Vomiting Resistant to Conventional Anti-Emetic Therapy"}})	.	P4 (1||{"P4": {"Dronabinol": "NDA018651"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
