Target Name	Year	Phase1	Phase2	Num	Label	First Approval Drug	Drug Type	Disease
5-HT 3 receptor	1987	1	1	1	Human/Protein	Ondansetron	Small molecule	Others
5-HT 3 receptor	1988	1	1	?	Human/Protein	Ondansetron	Small molecule	Others
5-HT 3 receptor	1991	4	4	1	Human/Protein	Ondansetron	Small molecule	Others
CNR1	1975	1	1	1	Human/Protein	Dronabinol	Small molecule	Others
CNR1	1976	1	1	?	Human/Protein	Dronabinol	Small molecule	Others
CNR1	1983	2	2	1	Human/Protein	Dronabinol	Small molecule	Others
CNR1	1985	4	4	1	Human/Protein	Dronabinol	Small molecule	Others
NK-1 receptor	1994	2	2	1	Human/Protein	Aprepitant	Small molecule	Others
NK-1 receptor	1999	1	1	1	Human/Protein	Aprepitant	Small molecule	Others
NK-1 receptor	2000	1	1	1	Human/Protein	Aprepitant	Small molecule	Others
NK-1 receptor	2001	3	3	1	Human/Protein	Aprepitant	Small molecule	Others
NK-1 receptor	2002	3	3	2	Human/Protein	Aprepitant	Small molecule	Others
NK-1 receptor	2003	4	4	2	Human/Protein	Aprepitant	Small molecule	Others
CNR2	1975	1	1	1	Human/Protein	Dronabinol	Small molecule	Others
CNR2	1976	1	1	?	Human/Protein	Dronabinol	Small molecule	Others
CNR2	1983	2	2	1	Human/Protein	Dronabinol	Small molecule	Others
CNR2	1985	4	4	1	Human/Protein	Dronabinol	Small molecule	Others
FCER2	1991	1	1	1	Human/Protein	Omalizumab	Antibody	Resp
FCER2	1992	1	1	?	Human/Protein	Omalizumab	Antibody	Resp
FCER2	2002	3	3	2	Human/Protein	Omalizumab	Antibody	Resp
FCER2	2003	4	4	2	Human/Protein	Omalizumab	Antibody	Resp
CysLTR1	1988	2	2	1	Human/Protein	Zafirlukast	Small molecule	Resp
CysLTR1	1991	1	1	1	Human/Protein	Zafirlukast	Small molecule	Resp
CysLTR1	1994	2	2	1	Human/Protein	Zafirlukast	Small molecule	Resp
CysLTR1	1996	4	4	1	Human/Protein	Zafirlukast	Small molecule	Resp
CD2	1997	1	1	1	Human/Protein	Alefacept	Protein drug	Skin
CD2	1998	1	1	1	Human/Protein	Alefacept	Protein drug	Skin
CD2	1999	1	1	1	Human/Protein	Alefacept	Protein drug	Skin
CD2	2000	1	1	1	Human/Protein	Alefacept	Protein drug	Skin
CD2	2001	2	2	1	Human/Protein	Alefacept	Protein drug	Skin
CD2	2002	3	3	2	Human/Protein	Alefacept	Protein drug	Skin
CD2	2003	4	4	2	Human/Protein	Alefacept	Protein drug	Skin
RAR-gamma	1968	1	1	1	Human/Protein	Tretinoin	Small molecule	Skin
RAR-gamma	1969	1	1	?	Human/Protein	Tretinoin	Small molecule	Skin
RAR-gamma	1971	4	4	1	Human/Protein	Tretinoin	Small molecule	Skin
